id;groups;age;active_lifestyle;salary
0;A;36;artist;2297
1;A;55;artist;1134
2;A;61;engineer;4969
3;O;29;educator;902
4;O;34;farmer;3574
5;O;42;lawyer;2761
6;AB;53;educator;1484
7;B;41;educator;3809
8;A;47;educator;2065
9;A;31;doctor;1020
10;A;47;executive;1950
11;O;40;engineer;4387
12;O;41;farmer;1830
13;O;46;doctor;2182
14;AB;51;artist;3460
15;B;57;doctor;662
16;A;33;artist;1134
17;A;41;doctor;1020
18;A;46;educator;779
19;O;32;educator;3228
20;O;57;educator;3228
21;O;26;educator;1360
22;AB;59;artist;3460
23;B;55;programmer;3110
24;A;51;doctor;1601
25;A;63;scientist;2414
26;A;62;educator;4390
27;O;37;artist;1134
28;O;63;scientist;2414
29;O;20;educator;3809
30;AB;63;scientist;1252
31;B;54;doctor;2764
32;A;58;doctor;662
33;A;18;educator;1484
34;A;29;scientist;1833
35;O;61;programmer;785
36;O;51;artist;2297
37;O;22;artist;1134
38;AB;36;scientist;670
39;B;62;educator;779
40;A;54;doctor;2182
41;A;55;lawyer;2761
42;A;55;scientist;2414
43;O;42;writer;556
44;O;41;educator;2646
45;O;43;doctor;1601
46;AB;24;lawyer;2179
47;B;44;educator;1484
48;A;42;educator;2065
49;A;54;executive;1950
50;A;34;educator;902
51;O;32;doctor;1601
52;O;28;farmer;4155
53;O;18;programmer;785
54;AB;64;scientist;670
55;B;44;artist;2878
56;A;56;artist;2297
57;A;54;engineer;3806
58;A;23;educator;4390
59;O;42;lawyer;4505
60;O;64;writer;2300
61;O;57;artist;1134
62;AB;20;artist;2297
63;B;37;lawyer;2761
64;A;45;programmer;3691
65;A;45;educator;2646
66;A;27;programmer;1366
67;O;43;lawyer;3342
68;O;20;scientist;1833
69;O;28;artist;4041
70;AB;60;farmer;1830
71;B;34;programmer;1948
72;A;21;engineer;3225
73;A;50;scientist;1833
74;A;31;scientist;2414
75;O;26;educator;3809
76;O;59;artist;1716
77;O;21;scientist;2996
78;AB;61;doctor;2182
79;B;47;doctor;2182
80;A;30;farmer;1830
81;A;19;farmer;2993
82;A;56;educator;2646
83;O;49;educator;4390
84;O;39;programmer;1366
85;O;64;educator;3228
86;AB;53;artist;2878
87;B;28;educator;2646
88;A;62;scientist;1833
89;A;57;scientist;670
90;A;55;executive;2056
91;O;25;educator;1484
92;O;31;engineer;4969
93;O;34;educator;3228
94;AB;47;doctor;1601
95;B;40;lawyer;1598
96;A;32;engineer;4969
97;A;32;educator;2646
98;A;56;doctor;2182
99;O;19;educator;1484
100;O;45;educator;1484
101;O;60;scientist;1833
102;AB;37;educator;1484
103;B;36;doctor;662
104;A;59;scientist;2414
105;A;48;artist;4622
106;A;56;artist;2878
107;O;52;executive;1950
108;O;25;artist;2878
109;O;51;artist;1134
110;AB;30;scientist;1252
111;B;46;artist;2297
112;A;45;doctor;2182
113;A;44;lawyer;1598
114;A;49;educator;3228
115;O;50;scientist;1011
116;O;26;lawyer;2761
117;O;30;educator;902
118;AB;21;doctor;1020
119;B;48;executive;3113
120;A;37;artist;2878
121;A;28;educator;3228
122;A;29;engineer;3225
123;O;28;programmer;2529
124;O;64;executive;894
125;O;44;doctor;1020
126;AB;63;scientist;670
127;B;37;scientist;4158
128;A;18;lawyer;1598
129;A;60;artist;2878
130;A;22;doctor;2182
131;O;62;scientist;2414
132;O;58;artist;1128
133;O;41;doctor;2406
134;AB;19;artist;2878
135;B;21;lawyer;1017
136;A;43;programmer;2529
137;A;53;writer;556
138;A;43;executive;1475
139;O;32;doctor;2182
140;O;43;farmer;2411
141;O;26;scientist;2996
142;AB;38;artist;2878
